province,nb_of_patients,avg_temp,max_wind_speed,avg_relative_humidity,code,city,latitude,longitude,elementary_school_count,kindergarten_count,university_count,academy_ratio,elderly_population_ratio,elderly_alone_ratio,nursing_home_count
Busan,101,15.57180013689252,6.3300479123887765,63.28966461327895,11000,Busan,35.179884,129.074796,304,408,22,1.4,18.41,8.6,6752
Chungcheongbuk-do,28,12.478904109589042,3.873032169746749,65.64157534246614,40000,Chungcheongbuk-do,36.63568,127.49138400000001,259,328,17,1.39,17.28,8.5,2769
Chungcheongnam-do,118,12.681680440771366,4.7379712131597,75.75674931129524,41000,Chungcheongnam-do,36.658976,126.673318,409,499,21,1.38,18.4,8.9,3641
Daegu,63,14.655684931506862,4.951676933607113,60.63839835728995,12000,Daegu,35.87215,128.601783,229,355,11,1.62,15.78,7.5,5083
Daejeon,22,13.928884325804285,3.861259411362076,68.95893223819358,15000,Daejeon,36.350621000000004,127.384744,148,260,15,1.49,13.65,5.8,2984
Gangwon-do,29,14.251060917179993,5.011156741957566,55.92443531827556,30000,Gangwon-do,37.885369,127.729868,349,368,18,1.42,19.89,9.8,2519
Gwangju,19,14.899315537303211,4.102806297056809,70.16652977412774,13000,Gwangju,35.160467,126.85139199999999,155,312,17,2.38,13.57,6.4,2852
Gyeonggi-do,300,13.189733059548267,4.4347707049965726,69.03127994524365,20000,Gyeonggi-do,37.275119000000004,127.00946599999999,1277,2237,61,1.6,12.63,5.2,20491
Gyeongsangbuk-do,1054,13.940315934065948,6.049418206707734,63.094693314955684,60000,Gyeongsangbuk-do,36.576032,128.505599,471,707,33,1.33,20.85,11.1,4474
Gyeongsangnam-do,85,14.793908281998645,4.468446269678309,65.25865845311466,61000,Gyeongsangnam-do,35.238294,128.692397,501,686,21,1.78,16.51,9.1,5364
Incheon,39,13.057905544147854,5.718287671232894,67.74024640657115,14000,Incheon,37.456188,126.70591999999999,250,403,7,1.27,13.2,5.8,4497
Jeju-do,4,16.948733744010934,6.165503080082135,70.14524298425779,70000,Jeju-do,33.488935999999995,126.500423,113,123,4,1.53,15.1,6.4,1245
Jeollabuk-do,7,14.185420944558516,4.263723477070508,72.54058863791975,50000,Jeollabuk-do,35.820308000000004,127.108791,419,519,19,2.12,20.6,10.9,3774
Jeollanam-do,4,15.307460643394965,7.905425824175823,65.93342465753474,51000,Jeollanam-do,34.816095000000004,126.463021,429,542,19,1.45,22.81,13.5,3389
Seoul,299,13.471594798083494,4.442563399588756,57.93203285420985,10000,Seoul,37.566953000000005,126.977977,607,830,48,1.44,15.38,5.8,22739
Ulsan,30,14.799726214921279,4.666392881587951,67.01416837782375,16000,Ulsan,35.539797,129.31153799999998,119,200,4,2.21,11.76,5.2,1801
